Nome,SofascoreID,Clube_Atual,Pais_Clube,Posicao,Arquetipo,Status,Nacionalidade,Data_Nascimento_Idade,Altura,Pe,Numero_Camisa,Valor_Mercado,Agente,Contrato_Ate,Jogos_ultimos_3_anos,Badge_Atividade,ATT,TEC,TAC,DEF,CRE
Bruno José,b77-35b,Atlético Goianiense,Brasil,Meio-campista,Meio-campista,Egresso,Brazil,31 de março de 1998 (28),173 cm,Ambos,19.0,420K €,Desconhecido,30 de nov. de 2026,104,🟢,51.0,50.0,34.0,42.0,49.0
Lucca,vub-fx9,Ceará,Brasil,Atacante,Atacante,Egresso,Brazil,2 de abril de 2003 (23),180 cm,Direito,99.0,650K €,Desconhecido,31 de dez. de 2027,71,🟢,59.0,53.0,55.0,39.0,43.0
Ramon,b77-drw,Vitória,Brasil,Zagueiro,Zagueiro,Egresso,Brazil,12 de março de 2001 (25),176 cm,Esquerdo,13.0,2.2M €,Desconhecido,31 de dez. de 2026,92,🟢,44.0,47.0,43.0,55.0,49.0
Weverton,8jr-rgc,Londrina,Brasil,Zagueiro,Zagueiro,Egresso,Brazil,14 de junho de 1999 (27),181 cm,Direito,2.0,265K €,Desconhecido,30 de nov. de 2026,91,🟢,,,,,
Dudu,vrw-mps,Guarani,Brasil,Zagueiro,Zagueiro,Egresso,Brazil,30 de maio de 1997 (29),175 cm,Direito,23.0,680K €,Desconhecido,30 de nov. de 2026,63,🟢,,,,,
Heitor,6gg-qgz,Chapecoense,Brasil,Zagueiro,Zagueiro,Egresso,Brazil,5 de novembro de 2000 (25),174 cm,Direito,5.0,475K €,Desconhecido,31 de dez. de 2026,76,🟢,46.0,47.0,49.0,54.0,48.0
Pedro Lucas,dqq-vy6,Sem equipe,,Atacante,Atacante,Sem clube,Brazil,5 de setembro de 1998 (28),185 cm,Direito,,,,,42,🟡,,,,,
Bruno Fuchs,8jj-aug,Palmeiras,Brasil,Zagueiro,Zagueiro,Egresso,Brazil,1 de abril de 1999 (27),190 cm,Direito,3.0,4.1M €,Desconhecido,31 de dez. de 2029,115,🟢,37.0,47.0,70.0,76.0,46.0
Erik,n5z-bn2,Al-Ain,Emirados Árabes Unidos,Zagueiro,Zagueiro,Egresso,United Arab Emirates,18 de fevereiro de 2001 (25),172 cm,Esquerdo,15.0,1.6M €,Desconhecido,30 de jun. de 2028,93,🟢,43.0,46.0,39.0,59.0,49.0
Guilherme Pato,iwj-mt2,CRB,Brasil,Meio-campista,Meio-campista,Egresso,Brazil,16 de fevereiro de 2001 (25),160 cm,Direito,11.0,260K €,Desconhecido,30 de nov. de 2026,49,🟡,,,,,
Netto,5fq-bi9,AA Altos,Brasil,Atacante,Atacante,Egresso,Brazil,28 de fevereiro de 1998 (28),174 cm,Direito,,280K €,Desconhecido,,42,🟡,,,,,
Bruno Praxedes,wrv-3dy,Red Bull Bragantino,Brasil,Meio-campista,Meio-campista,Egresso,Brazil,8 de fevereiro de 2002 (24),186 cm,Esquerdo,25.0,1.1M €,Desconhecido,,84,🟢,,,,,
Matheus Cadorini,hij-8xu,Portuguesa,Brasil,Atacante,Atacante,Egresso,Brazil,2 de setembro de 2002 (24),192 cm,Direito,9.0,190K €,Desconhecido,10 de dez. de 2028,39,🟡,,,,,
