Data_Extracao,Nome,ID,Temporada,Lesao,De,Ate,Dias,Jogos_Perdidos
2026-09-15,André Clóvis,564890,-,Nenhuma lesão registrada,-,-,0,0
2026-09-15,Thauan Lara,749557,-,Nenhuma lesão registrada,-,-,0,0
2026-09-15,Thiago Ocampo,1447123,-,Nenhuma lesão registrada,-,-,0,0
2026-09-15,Gabriel Lopes,1113413,-,Nenhuma lesão registrada,-,-,0,0
2026-09-15,Renê,1093951,-,Nenhuma lesão registrada,-,-,0,0
2026-09-15,Joao Alencar,1117807,-,Nenhuma lesão registrada,-,-,0,0
2026-09-15,Joao Fonseca,983554,-,Nenhuma lesão registrada,-,-,0,0
2026-09-15,Damian Fernandez,706562,25/26,Traumatismo craniano,23/01/2026,01/02/2026,10 dias,1
2026-09-15,Damian Fernandez,706562,23/24,Fratura do Metatarso,15/06/2024,05/09/2024,83 dias,9
2026-09-15,Damian Fernandez,706562,25/26,10 dias,1,1,,
2026-09-15,Damian Fernandez,706562,23/24,83 dias,1,9,,
