Data_Extracao,Nome,ID,Clube_Interessado,Data_Fonte,Ultima_Resposta,Probabilidade
2026-09-15,André Clóvis,564890,Raja Club Athletic,30/07/2026,30/07/2026,-
2026-09-15,André Clóvis,564890,Levski Sofia,29/06/2026,29/06/2026,-
2026-09-15,André Clóvis,564890,Qarabağ FK,04/08/2025,04/08/2025,-
2026-09-15,André Clóvis,564890,CSKA Sofia,29/07/2025,29/07/2025,-
2026-09-15,Thauan Lara,749557,Nenhum rumor registrado,-,-,-
2026-09-15,Thiago Ocampo,1447123,Nenhum rumor registrado,-,-,-
2026-09-15,Gabriel Lopes,1113413,Nenhum rumor registrado,-,-,-
2026-09-15,Renê,1093951,EC Vitória,27/03/2026,27/03/2026,-
2026-09-15,Renê,1093951,SC Corinthians,27/03/2026,27/03/2026,-
2026-09-15,Joao Alencar,1117807,Nenhum rumor registrado,-,-,-
2026-09-15,Joao Fonseca,983554,Nenhum rumor registrado,-,-,-
2026-09-15,Damian Fernandez,706562,Defensa y Justicia,04/07/2025,04/07/2025,-
2026-09-15,Damian Fernandez,706562,Club Necaxa,01/07/2025,01/07/2025,-
2026-09-15,Damian Fernandez,706562,CA Unión (Santa Fé),29/01/2024,29/01/2024,-
2026-09-15,Damian Fernandez,706562,CA Sarmiento (Junín),26/01/2024,26/01/2024,-
2026-09-15,Damian Fernandez,706562,AMSD Atlético de Rafaela,25/01/2024,25/01/2024,-
2026-09-15,Damian Fernandez,706562,Club Atlético Tucumán,18/01/2024,18/01/2024,-
2026-09-15,Damian Fernandez,706562,Club Atlético Platense,04/01/2024,04/01/2024,-
