DataHora,Jogador,Categoria,Ano_Temporada,Competicao,Colunas_Metricas,Valores
2026-09-15T18:18:22.577Z,Thiago Ocampo,Geral,2026,Total do Ano,MP | MIN | GLS | AST | ASR,25 | 1788 | 4 | 3 | 6.94
2026-09-15T18:18:22.631Z,Thiago Ocampo,Geral,2026,Primera Nacional,MP | MIN | GLS | AST | ASR,25 | 1788 | 4 | 3 | 6.94
2026-09-15T18:18:22.692Z,Thiago Ocampo,Geral,2025,Total do Ano,MP | MIN | GLS | AST | ASR,2 | 35 | 0 | 0 | 6.55
2026-09-15T18:18:22.740Z,Thiago Ocampo,Geral,2025,Primera Nacional,MP | MIN | GLS | AST | ASR,2 | 35 | 0 | 0 | 6.55
2026-09-15T18:18:23.616Z,Thiago Ocampo,Finalização,2026,Total do Ano,MP | GLS | TOS | SOT | BCM,25 | 4 | 47 | 13 | 0
2026-09-15T18:18:23.724Z,Thiago Ocampo,Finalização,2026,Primera Nacional,MP | GLS | TOS | SOT | BCM,25 | 4 | 47 | 13 | 0
2026-09-15T18:18:24.675Z,Thiago Ocampo,Jogo coletivo,2026,Total do Ano,MP | AST | KEYP | BCC | SDR,25 | 3 | 20 | 2 | 105
2026-09-15T18:18:24.737Z,Thiago Ocampo,Jogo coletivo,2026,Primera Nacional,MP | AST | KEYP | BCC | SDR,25 | 3 | 20 | 2 | 105
2026-09-15T18:18:24.788Z,Thiago Ocampo,Jogo coletivo,2025,Total do Ano,MP | AST | KEYP | BCC | SDR,2 | 0 | 0 | 0 | 3
2026-09-15T18:18:24.844Z,Thiago Ocampo,Jogo coletivo,2025,Primera Nacional,MP | AST | KEYP | BCC | SDR,2 | 0 | 0 | 0 | 3
2026-09-15T18:18:25.700Z,Thiago Ocampo,Passe,2026,Total do Ano,MP | APS | APS% | ALB | LBA% | ACR | CA%,25 | 203 | 59.4 | 9 | 45.0 | 19 | 24.7
2026-09-15T18:18:25.767Z,Thiago Ocampo,Passe,2026,Primera Nacional,MP | APS | APS% | ALB | LBA% | ACR | CA%,25 | 203 | 59.4 | 9 | 45.0 | 19 | 24.7
2026-09-15T18:18:25.816Z,Thiago Ocampo,Passe,2025,Total do Ano,MP | APS | APS% | ALB | LBA% | ACR | CA%,2 | 3 | 75.0 | 0 | - | 1 | 100.0
2026-09-15T18:18:25.877Z,Thiago Ocampo,Passe,2025,Primera Nacional,MP | APS | APS% | ALB | LBA% | ACR | CA%,2 | 3 | 75.0 | 0 | - | 1 | 100.0
2026-09-15T18:18:26.713Z,Thiago Ocampo,Defendendo,2026,Total do Ano,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,25 | 0 | 5 | 0 | 0 | 9 | 3 | 11 | 1 | 3
2026-09-15T18:18:26.772Z,Thiago Ocampo,Defendendo,2026,Primera Nacional,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,25 | 0 | 5 | 0 | 0 | 9 | 3 | 11 | 1 | 3
2026-09-15T18:18:27.631Z,Thiago Ocampo,Adicional,2026,Total do Ano,MP | GLS | XG | AST | XA | GI | XGI,25 | 4 | 3.37 | 3 | 2.36 | 7 | 5.73
2026-09-15T18:18:27.678Z,Thiago Ocampo,Adicional,2026,Primera Nacional,MP | GLS | XG | AST | XA | GI | XGI,25 | 4 | 3.37 | 3 | 2.36 | 7 | 5.73
2026-09-15T18:18:27.746Z,Thiago Ocampo,Adicional,2025,Total do Ano,MP | GLS | XG | AST | XA | GI | XGI,2 | 0 | 0.00 | 0 | 0.00 | 0 | 0.00
2026-09-15T18:18:27.782Z,Thiago Ocampo,Adicional,2025,Primera Nacional,MP | GLS | XG | AST | XA | GI | XGI,2 | 0 | 0.00 | 0 | 0.00 | 0 | 0.00
2026-09-15T18:18:33.388Z,André Clóvis,Geral,26/27,Total do Ano,MP | MIN | GLS | AST | ASR,6 | 457 | 2 | 0 | 6.67
2026-09-15T18:18:33.484Z,André Clóvis,Geral,26/27,Liga Portugal Betclic,MP | MIN | GLS | AST | ASR,6 | 457 | 2 | 0 | 6.67
2026-09-15T18:18:33.596Z,André Clóvis,Geral,25/26,Total do Ano,MP | MIN | GLS | AST | ASR,34 | 2948 | 23 | 2 | 7.11
2026-09-15T18:18:33.718Z,André Clóvis,Geral,25/26,Liga Portugal 2,MP | MIN | GLS | AST | ASR,34 | 2948 | 23 | 2 | 7.11
2026-09-15T18:18:33.887Z,André Clóvis,Geral,24/25,Total do Ano,MP | MIN | GLS | AST | ASR,32 | 2041 | 7 | 1 | 6.80
2026-09-15T18:18:33.984Z,André Clóvis,Geral,24/25,Liga Portugal 2,MP | MIN | GLS | AST | ASR,32 | 2041 | 7 | 1 | 6.80
2026-09-15T18:18:34.087Z,André Clóvis,Geral,23/24,Total do Ano,MP | MIN | GLS | AST | ASR,33 | 2880 | 12 | 0 | 6.97
2026-09-15T18:18:34.199Z,André Clóvis,Geral,23/24,Liga Portugal 2,MP | MIN | GLS | AST | ASR,33 | 2880 | 12 | 0 | 6.97
2026-09-15T18:18:34.316Z,André Clóvis,Geral,22/23,Total do Ano,MP | MIN | GLS | AST | ASR,4 | 360 | 3 | 0 | 7.28
2026-09-15T18:18:34.418Z,André Clóvis,Geral,22/23,Liga Portugal 2,MP | MIN | GLS | AST | ASR,2 | 180 | 3 | 0 | 7.95
2026-09-15T18:18:34.513Z,André Clóvis,Geral,22/23,Taça da Liga,MP | MIN | GLS | AST | ASR,2 | 180 | 0 | 0 | 6.60
2026-09-15T18:18:34.592Z,André Clóvis,Geral,21/22,Total do Ano,MP | MIN | GLS | AST | ASR,23 | 879 | 1 | 1 | 6.69
2026-09-15T18:18:34.682Z,André Clóvis,Geral,21/22,Liga Portugal Betclic,MP | MIN | GLS | AST | ASR,23 | 879 | 1 | 1 | 6.69
