DataHora,Jogador,Categoria,Ano_Temporada,Competicao,Colunas_Metricas,Valores
2026-09-15T12:30:51.610Z,Thiago Ocampo,Geral,2026,Total do Ano,MP | MIN | GLS | AST | ASR,25 | 1788 | 4 | 3 | 6.94
2026-09-15T12:30:51.641Z,Thiago Ocampo,Geral,2026,Primera Nacional,MP | MIN | GLS | AST | ASR,25 | 1788 | 4 | 3 | 6.94
2026-09-15T12:30:51.679Z,Thiago Ocampo,Geral,2025,Total do Ano,MP | MIN | GLS | AST | ASR,2 | 35 | 0 | 0 | 6.55
2026-09-15T12:30:51.732Z,Thiago Ocampo,Geral,2025,Primera Nacional,MP | MIN | GLS | AST | ASR,2 | 35 | 0 | 0 | 6.55
2026-09-15T12:30:52.530Z,Thiago Ocampo,Finalização,2026,Total do Ano,MP | GLS | TOS | SOT | BCM,25 | 4 | 47 | 13 | 0
2026-09-15T12:30:52.562Z,Thiago Ocampo,Finalização,2026,Primera Nacional,MP | GLS | TOS | SOT | BCM,25 | 4 | 47 | 13 | 0
2026-09-15T12:30:53.344Z,Thiago Ocampo,Jogo coletivo,2026,Total do Ano,MP | AST | KEYP | BCC | SDR,25 | 3 | 20 | 2 | 105
2026-09-15T12:30:53.375Z,Thiago Ocampo,Jogo coletivo,2026,Primera Nacional,MP | AST | KEYP | BCC | SDR,25 | 3 | 20 | 2 | 105
2026-09-15T12:30:53.459Z,Thiago Ocampo,Jogo coletivo,2025,Total do Ano,MP | AST | KEYP | BCC | SDR,2 | 0 | 0 | 0 | 3
2026-09-15T12:30:53.500Z,Thiago Ocampo,Jogo coletivo,2025,Primera Nacional,MP | AST | KEYP | BCC | SDR,2 | 0 | 0 | 0 | 3
2026-09-15T12:30:54.274Z,Thiago Ocampo,Passe,2026,Total do Ano,MP | APS | APS% | ALB | LBA% | ACR | CA%,25 | 203 | 59.4 | 9 | 45.0 | 19 | 24.7
2026-09-15T12:30:54.304Z,Thiago Ocampo,Passe,2026,Primera Nacional,MP | APS | APS% | ALB | LBA% | ACR | CA%,25 | 203 | 59.4 | 9 | 45.0 | 19 | 24.7
2026-09-15T12:30:54.340Z,Thiago Ocampo,Passe,2025,Total do Ano,MP | APS | APS% | ALB | LBA% | ACR | CA%,2 | 3 | 75.0 | 0 | - | 1 | 100.0
2026-09-15T12:30:54.390Z,Thiago Ocampo,Passe,2025,Primera Nacional,MP | APS | APS% | ALB | LBA% | ACR | CA%,2 | 3 | 75.0 | 0 | - | 1 | 100.0
